phase,dataset,distribution,attack,defense,malicious_ratio,ablation,final_accuracy_mean,final_accuracy_std,final_accuracy_count,best_accuracy_mean,best_accuracy_std,best_accuracy_count,final_f1_mean,final_f1_std,final_f1_count,mean_f1_mean,mean_f1_std,mean_f1_count,final_fpr_mean,final_fpr_std,final_fpr_count,mean_fpr_mean,mean_fpr_std,mean_fpr_count,mean_runtime_sec_mean,mean_runtime_sec_std,mean_runtime_sec_count,final_ledger_bytes_mean,final_ledger_bytes_std,final_ledger_bytes_count
main,fashion_mnist,alpha_0.5,label_flip,fedavg,0.2,full,0.6858333333333334,0.025467299294062037,3,0.6866666666666666,0.024618759784630354,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3309069845411512,0.2926352257171063,3,49723.0,5.0,3
main,fashion_mnist,alpha_0.5,label_flip,trimmed_mean,0.2,full,0.6785,0.02667864314390818,3,0.6856666666666666,0.021226948281213995,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3562526914808484,0.3048963401419702,3,49722.666666666664,2.0816659994654048,3
main,fashion_mnist,alpha_0.5,label_flip,trustfl_chain,0.2,full,0.7120000000000001,0.016039014932345448,3,0.7171666666666666,0.00900462843949341,3,0.8857142857142857,0.1030157507275426,3,0.6444885361552027,0.06433380162700919,3,0.08928571428571426,0.07783748113465486,3,0.19276455026455017,0.04009135317595677,3,1.4632667673958675,0.3151855656328434,3,55219.666666666664,148.13957382594802,3
main,fashion_mnist,alpha_0.5,model_scaling,cosine,0.2,full,0.5096666666666666,0.20579682537233981,3,0.6815000000000001,0.035436563038759826,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3432397577497694,0.27527024731322464,3,49722.666666666664,2.3094010767590283,3
main,fashion_mnist,alpha_0.5,model_scaling,fedavg,0.2,full,0.5924999999999999,0.13339321571954096,3,0.7133333333333333,0.011015141094572205,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.311152410507202,0.28510442218407545,3,49724.666666666664,3.055050463303695,3
main,fashion_mnist,alpha_0.5,model_scaling,history_cosine,0.2,full,0.5556666666666666,0.09976263495584572,3,0.7051666666666666,0.010610529361597986,3,0.2222222222222222,0.3849001794597505,3,0.24123376623376624,0.06463023729864911,3,0.33928571428571425,0.4694085510033899,3,0.42356701940035274,0.16051006704810783,3,1.2541265381707085,0.004812141568448045,3,58737.0,14.730919862656235,3
main,fashion_mnist,alpha_0.5,model_scaling,trimmed_mean,0.2,full,0.681,0.014551632210855281,3,0.7135000000000001,0.007000000000000034,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3428325494130453,0.28604776513213276,3,49724.0,4.358898943540674,3
main,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,full,0.7096666666666667,0.014545904349105725,3,0.7241666666666666,0.008251262529657728,3,0.8190476190476191,0.032991443953692856,3,0.8026455026455027,0.006782038981168224,3,0.13095238095238093,0.010309826235528995,3,0.09939594356261017,0.023375303938654935,3,1.4726002958085802,0.2880058841454036,3,54837.0,95.25229656024048,3
main,fashion_mnist,alpha_0.5,sign_flip,cosine,0.2,full,0.6771666666666666,0.038315575597051024,3,0.6893333333333334,0.02327194305023398,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3519556442896523,0.27790574640810156,3,49725.666666666664,4.725815626252287,3
main,fashion_mnist,alpha_0.5,sign_flip,fedavg,0.2,full,0.6216666666666666,0.025662878508330544,3,0.638,0.025548972582082427,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3267051458358765,0.2911058624713823,3,49725.333333333336,4.0414518843272305,3
main,fashion_mnist,alpha_0.5,sign_flip,trimmed_mean,0.2,full,0.6295000000000001,0.023811761799581263,3,0.6476666666666667,0.02842680659752927,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3660384972890218,0.3000624776487812,3,49723.666666666664,0.5773502691901509,3
main,fashion_mnist,alpha_0.5,sign_flip,trustfl_chain,0.2,full,0.6536666666666666,0.039453559197280684,3,0.6856666666666666,0.01521786231155132,3,0.0,0.0,3,0.46108465608465615,0.07570618793562622,3,0.30357142857142855,0.0643848442047141,3,0.2512522045855379,0.004320283479316691,3,1.4431627935833402,0.29895244873137533,3,55726.333333333336,333.2271497542373,3
main,fashion_mnist,iid,gaussian_noise,cosine,0.2,full,0.11266666666666665,0.03278846341830207,3,0.4383333333333333,0.08339114661241522,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.281139153904385,0.294893328010644,3,49723.666666666664,2.5166114784244265,3
main,fashion_mnist,iid,gaussian_noise,fedavg,0.2,full,0.4051666666666667,0.09550698054767162,3,0.6486666666666666,0.052939430799106055,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.1246332009633382,0.29211882257844607,3,49724.0,4.0,3
main,fashion_mnist,iid,gaussian_noise,trimmed_mean,0.2,full,0.7565,0.025709920264364847,3,0.7693333333333333,0.009543758868146958,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.2379553847842744,0.24568361512866568,3,49725.333333333336,1.527525231652145,3
main,fashion_mnist,iid,gaussian_noise,trustfl_chain,0.2,full,0.8158333333333333,0.0028431203515386434,3,0.8171666666666666,0.0020207259421636987,3,0.8857142857142857,0.10301575072754258,3,0.8150000000000001,0.010649125789028362,3,0.08928571428571426,0.07783748113465487,3,0.11541446208112867,0.004444451005706117,3,1.444792840215895,0.3189640605796404,3,54904.0,296.78443355405284,3
main,fashion_mnist,iid,label_flip,cosine,0.2,full,0.7085,0.03897435053981018,3,0.7396666666666668,0.004536885862938717,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.351039335462782,0.3210189199182995,3,49725.666666666664,2.886751345949179,3
main,fashion_mnist,iid,label_flip,fedavg,0.2,full,0.7221666666666667,0.02064784088793145,3,0.7391666666666667,0.002362907813126222,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3521647771199543,0.2981275060999691,3,49725.666666666664,3.2145502536649784,3
main,fashion_mnist,iid,label_flip,trimmed_mean,0.2,full,0.7433333333333333,0.008220908303425716,3,0.7443333333333334,0.006525590650150709,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3310516092512341,0.25244730083352973,3,49723.333333333336,3.0550504633030995,3
main,fashion_mnist,iid,label_flip,trustfl_chain,0.2,full,0.7431666666666666,0.01242309676905613,3,0.7478333333333333,0.008431093246627785,3,0.8888888888888888,0.19245008972987532,3,0.7493386243386245,0.025617264219379345,3,0.08333333333333333,0.14433756729740646,3,0.1691225749559082,0.022020573245759786,3,1.458151242468092,0.3255275877355713,3,55489.333333333336,302.7694392327816,3
main,fashion_mnist,iid,model_scaling,cosine,0.2,full,0.6405,0.07059213837248451,3,0.749,0.017895530168173246,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3191723240746391,0.2753273126044287,3,49725.666666666664,4.0414518843279055,3
main,fashion_mnist,iid,model_scaling,fedavg,0.2,full,0.7385,0.025283393759541,3,0.7635,0.017036725037400856,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3168822791841295,0.2769967474759877,3,49726.666666666664,1.527525231652145,3
main,fashion_mnist,iid,model_scaling,trimmed_mean,0.2,full,0.7613333333333333,0.003752776749732598,3,0.7658333333333333,0.0010408329997330607,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3446208821402656,0.2720805704124341,3,49724.0,2.0,3
main,fashion_mnist,iid,model_scaling,trustfl_chain,0.2,full,0.757,0.010476163419878446,3,0.7621666666666668,0.0034034296427770476,3,0.9333333333333332,0.11547005383792512,3,0.7759788359788361,0.007411752316044424,3,0.041666666666666664,0.07216878364870323,3,0.1349029982363315,0.024943615671115867,3,1.4411486334270902,0.30063140871814586,3,55120.0,10.535653752852738,3
main,fashion_mnist,iid,sign_flip,cosine,0.2,full,0.741,0.015620499351813323,3,0.7466666666666667,0.011094292827095058,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3460624270968966,0.31155440129664813,3,49725.333333333336,3.055050463303695,3
main,fashion_mnist,iid,sign_flip,fedavg,0.2,full,0.7000000000000001,0.009340770846134626,3,0.7098333333333334,0.008251262529657688,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.193009400367737,0.2911325231714674,3,49727.0,1.7320508075688772,3
main,fashion_mnist,iid,sign_flip,trimmed_mean,0.2,full,0.7206666666666667,0.010275375094532272,3,0.7280000000000001,0.006763874629234333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.2537878486845229,0.2357720876669809,3,49724.0,1.0,3
main,fashion_mnist,iid,sign_flip,trustfl_chain,0.2,full,0.7398333333333333,0.013051181300301211,3,0.7438333333333333,0.009712534856222258,3,0.6666666666666666,0.0,3,0.6750200416867084,0.02064878319058242,3,0.21428571428571427,0.06185895741317422,3,0.20592592592592593,0.030135297333934913,3,1.4486889441808064,0.2940526491916657,3,55601.333333333336,82.03251387915334,3
ratio,fashion_mnist,alpha_0.5,model_scaling,cosine,0.1,full,0.5003333333333333,0.010750968948580108,3,0.6516666666666667,0.024821026033049712,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.1707595003975764,0.279669533224684,3,49723.0,3.0,3
ratio,fashion_mnist,alpha_0.5,model_scaling,cosine,0.3,full,0.5906666666666667,0.07613529623856026,3,0.6461666666666667,0.03821103680003114,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.4464431524276733,0.2231615367014859,3,49726.0,3.605551275463989,3
ratio,fashion_mnist,alpha_0.5,model_scaling,cosine,0.4,full,0.5273333333333333,0.090166974737613,3,0.6703333333333333,0.0547182175635622,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3632787095175847,0.3139039538252184,3,49725.0,3.605551275463989,3
ratio,fashion_mnist,alpha_0.5,model_scaling,trimmed_mean,0.1,full,0.6781666666666667,0.012107160415775978,3,0.7205,0.003041381265149099,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.1930327415466309,0.2809787336882551,3,49724.666666666664,2.0816659994671523,3
ratio,fashion_mnist,alpha_0.5,model_scaling,trimmed_mean,0.3,full,0.6791666666666667,0.02589562382591567,3,0.7094999999999999,0.016023420358962086,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3545703093210857,0.26531974236583855,3,49725.0,2.0,3
ratio,fashion_mnist,alpha_0.5,model_scaling,trimmed_mean,0.4,full,0.6335000000000001,0.08877640452282354,3,0.7146666666666667,0.012897028081435375,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3484627379311458,0.3137298673202929,3,49726.0,4.358898943540674,3
ratio,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.1,full,0.6921666666666667,0.008036375634160767,3,0.7213333333333334,0.01284847591480537,3,0.7777777777777777,0.19245008972987523,3,0.7007407407407408,0.039943375558768236,3,0.07407407407407407,0.06415002990995841,3,0.11030864197530856,0.013657433563481957,3,1.2717928727467855,0.30301171233403623,3,55524.666666666664,567.4718788921039,3
ratio,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.3,full,0.7048333333333333,0.018427786989579937,3,0.733,0.004500000000000018,3,0.8023809523809523,0.05361109642475097,3,0.759527016193683,0.05011621963654316,3,0.09722222222222221,0.08673608331108884,3,0.15043209876543204,0.01925071913924527,3,1.4302277353074817,0.31006666099672786,3,54866.333333333336,406.68948023440754,3
ratio,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.4,full,0.6496666666666666,0.04530544485305642,3,0.7298333333333334,0.011150485789118513,3,0.582010582010582,0.2382715396655598,3,0.6463660413660414,0.05981471705198191,3,0.3142857142857143,0.1484614977916181,3,0.28449735449735447,0.04403555771754712,3,1.444591530164083,0.28916119196710444,3,54958.333333333336,144.41721965656686,3
